Nom,Adresse,Code postal,Ville,Latitude,Longitude,EMail (pour annuaire),Téléphone professionnel (pour annuaire),Url,Page facebook  (pour annuaire),Domaine d'activité Principal (une seule activité)  (pour annuaire),Description de l'activité de l'entreprise (pour annuaire),Défi (pour annuaire),Bureau de change,
Au Fil du Vin Libre,26 Quai des Bateliers,67000,Strasbourg,48.580749,7.753956,jean.aufilduvinlibre@orange.fr,03 88 35 12 09  ,www.aufilduvinlibre-strasbourg.com,https://www.facebook.com/AuFilDuVinLibre/,2,"Cavistes qui partagent leurs découvertes, coups de coeurs, raretés",Sensibiliser les vignerons alsaciens afin qu'ils se coordonnent pour mutualiser leurs livraisons,,
Brandin Claire,12 rue du collège,67140,Barr,48.406666,7.447186,contact@clairebrandin.com,06 81 13 76 32,www.clairebrandin.com,www.facebook.com/claire.brandin,8,"Corsets, costumes et formations.\n\nAtelier show-room ouvert sur rendez-vous",Améliorer le tri et la revalorisation des déchets,1,
ARES,10 rue d'Ankara,67000,Strasbourg,48.575363,7.771395,contact@ares-actif.fr,03 88 61 63 82,www.ares-actif.fr/,https://www.facebook.com/aresactif,7,Association de quartier et centre socio culturel de l&#39;Esplanade &agrave; Strasbourg.,Travailler sur le gaspillage alimentaire de l'accueil de loisir,,
Chadabask Bals Sauvages,chez Simon Garcia\n15 rue Charles Grad,67000,Strasbourg,48.593494,7.76223,balssauvages@gmail.com,06 59 07 30 47,balssauvages.blogspot.fr,https://www.facebook.com/groups/123381200966/?fref=ts,13,Organisation de bal sauvage\n&nbsp;,Communiquer auprès de ses prestataires sur le projet du Stück,,
Cinq Plus Steeve Ambiehl,2 rue Thomas Edison,67450,Mundolsheim,48.642286,7.728047,steeve.ambiehl@cinqplus.com,06 81 50 03 46,www.cinqplus.com,,18,Expert comptable,Rédiger une note sur la comptabilité et la gestion en caisse des Stücks et la présenter au grpe réseau + collège des pros,,
Restaurant du Tilleul,296 rue Principale,67210,Valff,48.419935	,7.529896,info@restaurant-du-tilleul.com,03 88 08 20 65,www.restaurant-du-tilleul.com/,https://www.facebook.com/RestaurantDuTilleulValff,16,"Restaurant gastronomie alsacienne, une cuisine bourgeoise et raffin&eacute;e.",Lister les entreprises susceptibles d'utiliser les stück parmi les parents des enfants du resto scolaire,,
Ferme Kikiriki,48 rue principale,67210,Goxwiller,48.4327096,7.484881299999984,frantzwelt@gmail.com,+33(0)7 87 54 03 20,,,1,"Paysan boulanger : Pain au levain, farine, fruits de saison, jus de fruits (AB)",Améliorer l?équilibre vie professionnel/vie privée : partir deux semaines en vacances,,
Domaine Heywang,7 rue principale,67140,Heiligenstein,48.425869,7.450491,contact@heywang-vins.fr,03 88 08 91 41,heywang-vins.fr,www.facebook.com/domaineheywang,1,"Vins d&#39;Alsace en Agriculture Biologique\nKlevener de Heiligenstein, Grand Cru Kirchberg, c&eacute;pages traditionnels\n\n&nbsp;",Inciter au moins deux de ses vendangeurs à accepter les stücks,,
Ferme de Truttenhausen,GAEC Ferme de Truttenhausen,67140,Heiligenstein,48.425256,7.430461,ph.lenormand71@gmail.com ,03 88 08 24 33,truttenhausen.jimdo.com,https://www.facebook.com/Ferme-de-Truttenhausen-279182492257382/?fref=ts,1,Ferme biodynamique,Inciter la moitié des employés  acceptent qu'une partie de leur rémunération leur soit versée en stücks,,
Restaurant Maison Louise ESPERANCE,93 rue principale,67210,Meistratzheim,48.448079	,7.548845,,03 88 50 68 47,www.lamaisonlouise.com,,16,"Cuisine familiale et produits locaux, avec une carte au fil des saisons.",Migrer vers des solutions libres pour ses outils informatiques,,
Michel Francis Artisan électricien (siège),"3 bis, Haut du Harcholet",88210,Le Saulcy,48.421209,7.052401,,06 71 47 63 29,,,9,Autonomie Energ&eacute;tique Photovolta&iuml;que\nInstallation en Bio-Electricit&eacute;,"Se renseigner et communiquer sur les procédés de fabrication des matériaux et sur les aspects sociétaux des fabricants, pour le fournisseur Voltec.",,
Librairie Chapitre 8,5 rue de Verdun,67000,STRASBOURG,48.58564,7.770411,chapitre.8@orange.fr,03 88 61 78 37,chapitre8.com/,https://www.facebook.com/pages/Chapitre-8/128410237210711?fref=ts,6,Librairie ind&eacute;pendante.,Mettre en place un rayon militant,,
Association Beudeux,9 rue des myosotis,67205,oberhausbergen,48.604179,7.693329,,,www.beudeux.com/,https://www.facebook.com/beudeux/?fref=ts,6,Edition de Bandes Dessinées,"A définir lors de discussions entre le bénévole et l'assoc', puis à confirmer par mail avec le CAP",,
PC services Images et Son,13 rue des Corps de Garde,67100,Strasbourg,48.559856,7.779542,durr@pcsis.fr,06 82 51 10 48,www.pcsis.fr/,,12,"Assistance en informatique, sur internet,  dépannage logiciel et matériel. ",Trouver un débouché pour ses déchets électroniques,,
Les Z'ailes,37 rue de la République,67720,WEYERSHEIM,48.713798,7.801589,adeline@leszailes.fr,06 63 40 10 78,www.leszailes.fr,,18,"Révélatrice de superpouvoirs :) . Accompagne les individus et les équipes à développer des innovations sociales, une manière de faire les mêmes en mieux, pour soi et pour tous.",Mesurer l'impact de ses déplacements et trouver une manière de compenser localement,,
Alsétic,20 rue du Village,67310,Dangolsheim,48.571154,7.466031,contact@alsetic.fr,09 50 93 09 30,www.alsetic.fr/,,20,Cr&eacute;ation de sites Internet &eacute;thiques et &eacute;cologiques.,Inciter 100% de ses nouveaux clients à prendre une solution d'hébergement pour leur site internet ,,
Marine Trevisan,6 Quai St-Jean,67000,Strasbourg,48.58326,7.738322,marine.energetique@gmail.com,06 20 39 77 81,www.energetique-chinoise-strasbourg.com/,,17,"Cabinet d'énergétique traditionnelle chinoise, acupuncture, Tuina, ventouses ; pharmacopée chinoise, réharmonisation énergétique ","Engager une reflexion sur la réduction des draps jetables, et en partager les conclusions avec le réseau des professionnels",,
NJ Near,4 rue du Château,67310,Scharrachbergheim,48.593421,7.495463,njnear36@gmail.com,06 99 35 98 91,,https://www.facebook.com/NJ-Near-1607456599505592/?fref=ts,18,D&eacute;veloppement d&#39;outils de gestion personnalis&eacute;e pour les entreprises.,"Trouver un débouché pour les déchets électroniques, mutualiser ce traitement avec les professionnels de son village et en partager la solution avec les membres du réseau.",,
